,iteration,node,betweeness_centrality,closeness_centrality,in_degree,avg_dist_from_phil
0,50,philosophy,0.018173758865248225,0.13197770275575096,0.06382978723404255,6.4523809523809526
1,50,awareness,0.013741134751773049,0.0598404255319149,0.02127659574468085,6.4523809523809526
2,50,knowledge,0.01950354609929078,0.06415711947626841,0.0425531914893617,6.4523809523809526
3,50,science,0.017287234042553192,0.03829787234042553,0.02127659574468085,6.4523809523809526
4,50,language,0.015070921985815602,0.03404255319148936,0.02127659574468085,6.4523809523809526
5,50,philosophy_of_logic,0.008421985815602837,0.03829787234042553,0.02127659574468085,6.4523809523809526
6,75,philosophy,0.01251097453906936,0.12307750587165693,0.04477611940298507,6.793103448275862
7,75,awareness,0.011633011413520631,0.07364636670661293,0.014925373134328358,6.793103448275862
8,75,knowledge,0.016900790166812993,0.08403926314374076,0.04477611940298507,6.793103448275862
9,75,science,0.012949956101843723,0.04500574052812859,0.014925373134328358,6.793103448275862
10,75,language,0.01514486391571554,0.03454157782515991,0.014925373134328358,6.793103448275862
11,75,philosophy_of_logic,0.006365232660228271,0.030793401413982714,0.014925373134328358,6.793103448275862
12,100,philosophy,0.007706374085684431,0.09595082554645938,0.034482758620689655,6.95
13,100,awareness,0.007445141065830722,0.05703477375236432,0.011494252873563218,6.95
14,100,knowledge,0.010841170323928945,0.06445623342175066,0.034482758620689655,6.95
15,100,science,0.00875130616509927,0.03588449677600224,0.011494252873563218,6.95
16,100,language,0.009012539184952978,0.026600985221674874,0.011494252873563218,6.95
17,100,philosophy_of_logic,0.0037878787878787884,0.023714458560193583,0.011494252873563218,6.95
18,125,philosophy,0.006828391734052111,0.08872503840245775,0.028571428571428574,8.051948051948052
19,125,awareness,0.005121293800539084,0.04725738396624472,0.009523809523809525,8.051948051948052
20,125,knowledge,0.007457322551662174,0.05340659340659341,0.028571428571428574,8.051948051948052
21,125,science,0.006019766397124888,0.029732868757259005,0.009523809523809525,8.051948051948052
22,125,language,0.016891284815813118,0.04733893557422969,0.028571428571428574,8.051948051948052
23,125,philosophy_of_logic,0.005660377358490566,0.032570750720216916,0.009523809523809525,8.051948051948052
24,150,philosophy,0.00568678915135608,0.0877466251298027,0.023809523809523808,8.141304347826088
25,150,awareness,0.0054368203974503185,0.05395074696545285,0.015873015873015872,8.141304347826088
26,150,knowledge,0.005936757905261842,0.04383324210910418,0.023809523809523808,8.141304347826088
27,150,science,0.005186851643544556,0.02602133749674733,0.007936507936507936,8.141304347826088
28,150,language,0.011748531433570802,0.039449112978524735,0.023809523809523808,8.141304347826088
29,150,philosophy_of_logic,0.003937007874015748,0.027142292266847428,0.007936507936507936,8.141304347826088
30,175,philosophy,0.004286646165315442,0.0764810062529367,0.02054794520547945,8.150537634408602
31,175,awareness,0.004053676265026559,0.0465602336825141,0.0136986301369863,8.150537634408602
32,175,knowledge,0.004426428105488771,0.03782868839552826,0.02054794520547945,8.150537634408602
33,175,science,0.0038673003447954528,0.022456770716370984,0.00684931506849315,8.150537634408602
34,175,language,0.009085826111266425,0.03592194737360797,0.02054794520547945,8.150537634408602
35,175,philosophy_of_logic,0.003028608703755475,0.02426885339147746,0.00684931506849315,8.150537634408602
36,200,philosophy,0.0038700255567725448,0.07426059945143915,0.01818181818181818,8.570093457943925
37,200,awareness,0.0033953997809419495,0.042890442890442894,0.012121212121212121,8.570093457943925
38,200,knowledge,0.0034684191310697336,0.033472657610588645,0.01818181818181818,8.570093457943925
39,200,science,0.0030303030303030303,0.01987083954297069,0.006060606060606061,8.570093457943925
40,200,language,0.009419496166484118,0.0406971267074894,0.01818181818181818,8.570093457943925
41,200,philosophy_of_logic,0.0030303030303030303,0.026257419556388627,0.006060606060606061,8.570093457943925
42,225,philosophy,0.0036133960047003526,0.07454471993377744,0.016304347826086956,8.89516129032258
43,225,awareness,0.0027320799059929496,0.038461538461538464,0.010869565217391304,8.89516129032258
44,225,knowledge,0.002790834312573443,0.03001624187906047,0.016304347826086956,8.89516129032258
45,225,science,0.0024383078730904817,0.017818959372772628,0.005434782608695652,8.89516129032258
46,225,language,0.011075205640423032,0.055113012086014754,0.021739130434782608,8.89516129032258
47,225,philosophy_of_logic,0.003437132784958872,0.03282335492935758,0.005434782608695652,8.89516129032258
48,250,philosophy,0.003292201141296396,0.07365124267528794,0.01485148514851485,9.007352941176471
49,250,awareness,0.002365507486709262,0.03564356435643564,0.009900990099009901,9.007352941176471
50,250,knowledge,0.0024630541871921183,0.027933104191248143,0.01485148514851485,9.007352941176471
51,250,science,0.002219187435984978,0.017237694992520834,0.0049504950495049506,9.007352941176471
52,250,language,0.010900843778959177,0.062178844466725156,0.024752475247524754,9.007352941176471
53,250,philosophy_of_logic,0.003340974491537824,0.03543512245961438,0.0049504950495049506,9.007352941176471
54,275,philosophy,0.0030905344806690096,0.07668796068796069,0.013513513513513514,8.928571428571429
55,275,awareness,0.00228255160990587,0.03979190458063697,0.009009009009009009,8.928571428571429
56,275,knowledge,0.002524946471134812,0.03441850941850942,0.018018018018018018,8.928571428571429
57,275,science,0.0020805558922150852,0.019022400779157535,0.0045045045045045045,8.928571428571429
58,275,language,0.010443178604613582,0.06612811158265705,0.02702702702702703,8.928571428571429
59,275,philosophy_of_logic,0.0031713327677453237,0.036884798661380086,0.0045045045045045045,8.928571428571429
60,300,philosophy,0.002771966527196653,0.07335523070584207,0.012552301255230124,9.0125
61,300,awareness,0.001970013947001395,0.03696151806234899,0.008368200836820083,9.0125
62,300,knowledge,0.002179218967921897,0.031970330924305825,0.016736401673640166,9.0125
63,300,science,0.001795676429567643,0.017669342983150513,0.0041841004184100415,9.0125
64,300,language,0.009745467224546722,0.06627657540938342,0.02928870292887029,9.0125
65,300,philosophy_of_logic,0.0029463040446304047,0.03672016486604633,0.0041841004184100415,9.0125
66,325,philosophy,0.002614299610894942,0.0747493531694696,0.01171875,8.936416184971097
67,325,awareness,0.001960724708171206,0.038929440389294405,0.0078125,8.936416184971097
68,325,knowledge,0.002082320038910506,0.03380408653846154,0.015625,8.936416184971097
